Serial Episode, Thumbnail Link, Video Link, Genre
Bigg Boss 4 Tamil 19-10-2020 - *Day 15* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6rzVmNpqFEvr7wnZra&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 19-10-2020 - *Day 15* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k984vkAxFag4prwnZj3&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 19-10-2020 - *Day 15* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5UYyKMXO0Hu98wnZdJ&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 20-10-2020 - *Day 16* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1FCXcIsEQc9r6wo9mj&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 20-10-2020 - *Day 16* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5cW54GGtdnsQcwo9gC&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 20-10-2020 - *Day 16* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5zy2ivul0UsFTwo98d&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 20-10-2020 - *Day 16* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4JrVtCuCgBBoewo90X&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 21-10-2020 - *Day 17* LIVE - Vijay TV 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7o3qFeVpdtdgqwojQt&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 21-10-2020 - *Day 17* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kdIz3ISL7HRTgqwojLG&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 21-10-2020 - *Day 17* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2ESO61ZZW537FwojG4&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 21-10-2020 - *Day 17* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3tMN8tk5p6mXYwojvX&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 21-10-2020 - *Day 17* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1GeJ6FNeNiqjbwoknr&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 22-10-2020 - *Day 18* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k13g0osqkvWVnqwoxNK&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 23-10-2020 - *Day 19* LIVE - Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5b8AoMi5bKh80woIZX&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 24-10-2020 - *Day 20* LIVE - Vijay TV Weekend 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k50hBtyrHC4KhewoOld&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 24-10-2020 - *Day 20* LIVE - Vijay TV Weekend 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k10IGkTUYG1murwoOdz&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 24-10-2020 - *Day 20* LIVE - Vijay TV Weekend 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2KMPqf4mHrwTbwoO7v&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 24-10-2020 - *Day 20* LIVE - Vijay TV Weekend 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1qdoLEeP8p6lBwoNZu&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 24-10-2020 - *Day 20* LIVE - Vijay TV Weekend 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1QgJSlnRYTSktwoNRY&mode=playVideo, Big Boss
Bigg Boss Tamil 4 25-10-2020 - *Day 21* LIVE - Vijay TV 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7aQlc6ycFDB9IwoUsZ&mode=playVideo, Big Boss
Bigg Boss Tamil 4 25-10-2020 - *Day 21* LIVE - Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6lo7z4XIbrVzMwoUnV&mode=playVideo, Big Boss
Bigg Boss Tamil 4 25-10-2020 - *Day 21* LIVE - Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6rJIbAjJZq0PGwoUjs&mode=playVideo, Big Boss
Bigg Boss Tamil 4 25-10-2020 - *Day 21* LIVE - Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3QpW24jVvKZAVwoUdw&mode=playVideo, Big Boss
1TEST,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.oogly_io/?url=embed-pc7sxpdm5lrz&mode=playVideo, Big Boss
Bigg Boss Tamil 26-10-2020 - *Day 22* Vijay TV 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7x2rpv&mode=playVideo, Big Boss
Bigg Boss Tamil 26-10-2020 - *Day 22* Vijay TV 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7x2rpu&mode=playVideo, Big Boss
Bigg Boss Tamil 26-10-2020 - *Day 22* Vijay TV 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7x2rk6&mode=playVideo, Big Boss
Bigg Boss Tamil 26-10-2020 - *Day 22* Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=x7x2rk5&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 27-10-2020 - *Day 23* LIVE Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4pEomHAqMjQlbwpfxl&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 28-10-2020 - Day 24 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3ClrmdJfxaGVLwpp3q&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 29-10-2020 - Day 25 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6fFxpyPoAM8YrwpwG1&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 30-10-2020 - Day 26 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k3bfVGVCRlAXTowpFex&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 31-10-2020 - Day 27 - Vijay TV Reality Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k794oCE3njq2hcwpMb4&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 31-10-2020 - Day 27 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k24oa0rypWjzFNwpMb3&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 01-11-2020 - Day 28 - Vijay TV Reality Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k52fZ1S0vpnorkwpR60&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 01-11-2020 - Day 28 - Vijay TV Reality Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1vXbaaQMx1LizwpR59&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 01-11-2020 - Day 28 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1bDtIM6Yci6tvwpQSU&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 02-11-2020 - Day 29 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k196tIqWxd1uZ5wq03K&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 03-11-2020 - Day 30 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4TpcsdRsYUIMVwqamt&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 04-11-2020 - Day 31 - Vijay TV Show 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6Ke029Z49NZkxwqim3&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 04-11-2020 - Day 31 - Vijay TV Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k28rhv7PSwnlKNwqifD&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 04-11-2020 - Day 31 - Vijay TV Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k48kqvtkvQUnNNwqi6Y&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 04-11-2020 - Day 31 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6ka0hqz3S2MC3wqhVR&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 05-11-2020 - Day 32 *LIVE* Vijay TV 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2rQQXXO3QYAbvwquyP&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 06-11-2020 - Day 33 - Vijay TV Reality Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k4pJvshyi0agULwqDHe&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k1MbPBMBUCVARewqJiU&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kPtg7xFvYUkighwqJcV&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2dVlmGHDvcKMYwqJ3n&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k38rggQlKaiQuKwqIYY&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 07-11-2020 - Day 34 - Vijay TV Weekend Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kMo1d7cuJE53VSwqIOg&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 5,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5WqVXDNSaAAWEwqQeN&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k2Hhl9wYJ2LvoJwqQ97&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k7DRMXwNksCU94wqQ2d&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6d5UdS3nun00XwqPUB&mode=playVideo, Big Boss
Bigg Boss 4 Tamil 08-11-2020 - Day 35 - Vijay TV Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6O4BawJuoKVXJwqPLm&mode=playVideo, Big Boss
